"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:4JtHJHmNXeHASA6BFhMCGg","Fuji","spotify:artist:24UUxM6HmNY61FJryfs7fk","Mungk","spotify:album:3KMybKt27p3VXlzEa7VKfg","Mumakil","1","4","308571","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:5puzvQh2AcEhneYrxEQFvX","Descending","spotify:artist:7ygSJBM6sZ0vXGJvjnL1V5","ENiGMA Dubz","spotify:album:5JaahHECRAkFqxfDbA6h7M","Greedy Gutz EP","1","3","250045","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:6wCeNWmWnvdYDevV8bTNol","The Mould","spotify:artist:3XOdjRVzH3ryTLNzRGLzhu, spotify:artist:66zjdfL3y8HQAm4OXwqMmM, spotify:artist:0EbkjA4cx29xR1W3BWjhsD","Boylan, Slimzee, U.S.F","spotify:album:2nKrRuPOt453nVkfYEqmaC","Orders / The Mould","1","2","281277","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:4dIDoioTaawEGUypaF0xN0","Fortuna","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs, spotify:artist:4e6pQ61gYReORJoXcrQH1Z","Ivy Lab, Alix Perez","spotify:album:7eBy2RJdVnU4pOBxvzjtSW","Fortuna","1","2","242207","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:4coTXIBxXmP81duKI5oyES","Brok Out - Rsd Remix (Edit)","spotify:artist:2olqJvEmZ1i22YG7Rougqn, spotify:artist:1sB60t17f7DS5bLiH4Kx2K, spotify:artist:5z8Vn9xoYJ3OXi6VSfohzF","RDG, DubApe, RSD","spotify:album:5c31fcRl1YYNGM2ulw1a3Q","Brok Out (RSD Remix)","1","1","246857","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:40EER9PNIJkmZ73CByZkkO","R1","spotify:artist:1YLeUsNujSB7Fp1tnCWZi2","SP:MC","spotify:album:1TWrG5ikM6L4Ti26sWAssO","Pondlife / R1","1","2","276682","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:28:34Z"
"spotify:track:3Kx4THAnVBNXXqnYz98OSG","Caffeine Dub","spotify:artist:5zjhAGHyfk64Uw0lV2czni","Nova","spotify:album:6f5AQ8rYEa5pYN4V1BZB4b","Caffeine Dub / Reincarnate","1","1","343090","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:29:09Z"
"spotify:track:264mpyiQbGpKY0BZNkMsu7","King Of Wands","spotify:artist:2OXdpdW6bVr6pr4QZFA70Q","JFO","spotify:album:7Bc84UHoTASTsxNGFeaxlG","King Of Wands / Myth","1","1","256749","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-20T10:47:18Z"
"spotify:track:4mtuE5opBPNtmBTGs5f1ok","Myth","spotify:artist:2OXdpdW6bVr6pr4QZFA70Q","JFO","spotify:album:7Bc84UHoTASTsxNGFeaxlG","King Of Wands / Myth","1","2","251149","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-20T10:47:18Z"
"spotify:track:7gBvSV6bbZsGRzDTfznd5K","Critical Mass","spotify:artist:7lpT19TLWJN0pPEmUF9FTH","Bukez Finezt","spotify:album:7LgAn6K4Fyhi3dwkl99YJw","Critical Mass","1","1","396099","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-20T10:53:34Z"
"spotify:track:2jq2S4bNHUJM97NPv1LHMk","Climb Out of Your Hiding Place","spotify:artist:1w2QxapVigswBn0iFFmhAm","Boofy","spotify:album:2W7cK4qXTQ0czv9VzHYnGL","Climb Out of Your Hiding Place","1","1","279007","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-20T11:00:50Z"
